category,task,value,date,day
personal,return nordstroms,3,2018/06/25,wednesday
health,leadership training,7,2018/06/25,wednesday
health,lift arms,5,2018/07/02,wednesday
personal,Get MSD dates in calendar,3,2018/07/02,wednesday
personal,Braces,3,2018/07/02,wednesday
personal,trash,2,2018/07/09,wednesday
personal,Water plant,1,2018/07/09,wednesday
personal,Seb day,15,2018/07/09,wednesday
health,leadership training,6,2018/07/09,wednesday
gear lift,Respond to Ben,2,2018/07/09,wednesday
personal,"- [x] Seb days (Mon, Tues, Wed)",20,2018/07/16,wednesday
personal,call mom,2,2018/07/16,wednesday
health,lift legs,5,2018/07/16,wednesday
health,leadership training,5,2018/07/16,wednesday
health,lift chest,5,2018/07/23,wednesday
health,Diet,5,2018/07/23,wednesday
board,Request Docs,3,2018/07/23,wednesday
personal,Call Toyota Servicing,3,2018/07/23,wednesday
personal,Fix computer crash v1,3,2018/07/23,wednesday
personal,Update scrum,3,2018/07/23,wednesday
personal,Harvest Subscription,2,2018/07/23,wednesday
gear lift,Test Skis CSV ,2,2018/07/23,wednesday
gear lift,Add description to Backcountry data,3,2018/07/23,wednesday
gear lift,Clean up BC CSV scrape,3,2018/07/23,wednesday
gear lift,Add sku,2,2018/07/23,wednesday
gear lift,Upload missing images,5,2018/07/23,wednesday
gear lift,Test Make sure scrapes working,2,2018/07/23,wednesday
gear lift,Eliot Call,3,2018/07/23,wednesday
gear lift,Remove excess from skis scrape,2,2018/07/23,wednesday
gear lift,Setup new columns for BC,2,2018/07/23,wednesday
gear lift,beef up skis.com scrape,5,2018/07/23,wednesday
gear lift,Fix BC data import,3,2018/07/23,wednesday
gear lift,Clean up Ski.com scrapes,3,2018/07/23,wednesday
gear lift,Fix admin dashboard,3,2018/07/23,wednesday
gear lift,Fix scrapes and BC,2,2018/07/23,wednesday
health,leadership training,5,2018/07/23,wednesday
gear lift,Install Raisd uby,5,2018/07/23,wednesday
one_dataset,meet with mike,5,2018/07/23,wednesday
gear lift,Production data feeds skis.com,2,2018/07/30,wednesday
gear lift,Email ben,3,2018/07/30,wednesday
gear lift,Email skis.com,3,2018/07/30,wednesday
gear lift,Production data feed backcountry,2,2018/07/30,wednesday
gear lift,Backcountry image import,5,2018/07/30,wednesday
gear lift,Webmaster tool in sitemap,3,2018/07/30,wednesday
gear lift,Skis image import,5,2018/07/30,wednesday
gear lift,db backup,3,2018/07/30,wednesday
gear lift,production scrape backcountry,2,2018/07/30,wednesday
gear lift,copy to development,2,2018/07/30,wednesday
gear lift,Get image scarpe working,3,2018/07/30,wednesday
one_dataset,email mike,3,2018/07/30,wednesday
health,bike with Joel,5,2018/07/30,wednesday
health,leaderhsip training,5,2018/07/30,wednesday
one_dataset,Version 1.0 of portfolio,8,2018/08/06,wednesday
health,Lift legs,5,2018/08/06,wednesday
personal,MSD picnic,5,2018/08/06,wednesday
personal,Trash,2,2018/08/06,wednesday
personal,Dog poop,3,2018/08/06,wednesday
personal,Import new skis,5,2018/08/13,wednesday
personal,Fix sink,3,2018/08/13,wednesday
personal,Dog poop,2,2018/08/13,wednesday
personal,Print immunization forms,2,2018/08/13,wednesday
personal,Drop off immunization forms,3,2018/08/13,wednesday
personal,Trash,2,2018/08/13,wednesday
personal,Sweep garae,5,2018/08/13,wednesday
snowmass,pay pest control,2,2018/08/13,wednesday
snowmass,finances,5,2018/08/13,wednesday
snowmass,pay lawn care,2,2018/08/13,wednesday
snowmass,pay electrian,2,2018/08/13,wednesday
health,IF,5,2018/08/13,wednesday
health,run 5 miles,5,2018/08/20,wednesday
health,lift chest,5,2018/08/20,wednesday
health,IF,5,2018/08/20,wednesday
health,Juice,3,2018/08/20,wednesday
gear lift,evo scrape working,8,2018/08/20,wednesday
gear lift,Remove duplicate data,5,2018/08/20,wednesday
gear lift,Buy link HTML,3,2018/08/20,wednesday
gear lift,Image link,3,2018/08/20,wednesday
gear lift,Upload armada Images,5,2018/08/27,wednesday
gear lift,Import evo skis,2,2018/08/27,wednesday
gear lift,Create evo image file,5,2018/08/27,wednesday
gear lift,Debug evo scrape and clean up,8,2018/08/27,wednesday
personal,Water plant,2,2018/08/27,wednesday
personal,Trash,2,2018/08/27,wednesday
personal,Test Rotissery,3,2018/08/27,wednesday
personal,Water Garden,1,2018/08/27,wednesday
health,IF,5,2018/08/27,wednesday
health,Run 5 Mils,8,2018/08/27,wednesday
health,Lift legs,5,2018/08/27,wednesday
one_dataset,respond to ryan,2,2018/08/27,wednesday
health,IF,5,2018/09/03,wednesday
health,Lift Arms,5,2018/09/03,wednesday
gear lift,Email and Review avanktlin transactions,5,2018/09/03,wednesday
gear lift,Descriptions on show page,3,2018/09/03,wednesday
gear lift,Secondary use,3,2018/09/03,wednesday
gear lift,Check prize updates on ,8,2018/09/03,wednesday
gear lift,loading page issue,2,2018/09/03,wednesday
gear lift,Email Avantlink support,3,2018/09/03,wednesday
gear lift,Email upwork for edits,3,2018/09/03,wednesday
personal,check on lawn finances,2,2018/09/03,wednesday
personal,Respond to RR breader,3,2018/09/03,wednesday
gear lift,Wall on variant data,8,2018/09/10,wednesday
health,IF,5,2018/09/10,wednesday
health,Juice,3,2018/09/10,wednesday
personal,water sod,3,2018/09/10,wednesday
personal,back to school night,3,2018/09/10,wednesday
personal,seb dentists,5,2018/09/10,wednesday
health,IF,5,2018/09/17,wednesday
health,Juice,3,2018/09/17,wednesday
gear lift,Chart rev vs expense,3,2018/09/17,wednesday
personal,Menu Groceries,3,2018/09/17,wednesday
personal,Reconcile snowmass,3,2018/09/17,wednesday
personal,Reconcile Joint,3,2018/09/17,wednesday
health,IF,5,2018/09/24,wednesday
health,Juice,3,2018/09/24,wednesday
personal,Menu Groceries,3,2018/09/24,wednesday
personal,Trash,2,2018/09/24,wednesday
personal,Menu Groceries,3,2018/09/24,wednesday
personal,Book boot fitter,2,2018/09/24,wednesday
health,IF,5,2018/10/01,wednesday
health,Juice,3,2018/10/01,wednesday
gear lift,Review and sign operational aggreement,3,2018/10/01,wednesday
health,meditate,5,2018/10/01,wednesday
health,mt bike ride,8,2018/10/01,wednesday
health,IF,5,2018/10/08,wednesday
health,Juice,3,2018/10/08,wednesday
personal,heat treat boots,5,2018/10/08,wednesday
gear lift,Create list of questions for chris,5,2018/10/08,wednesday
health,IF,5,2018/10/15,wednesday
health,Juice,3,2018/10/15,wednesday
personal,Dog poop,3,2018/10/15,wednesday
personal,Trash ,2,2018/10/15,wednesday
personal,Water plant,1,2018/10/15,wednesday
gear lift,Atomic database recommendation,3,2018/10/15,wednesday
gear lift,Replace biding ski space,3,2018/10/15,wednesday
gear lift,Filter data production armada,3,2018/10/15,wednesday
gear lift,Email eliot about SSL,3,2018/10/15,wednesday
health,Run 3 miles,5,2018/10/15,wednesday
health,IF,5,2018/10/22,wednesday
health,Juice,3,2018/10/22,wednesday
personal,dog poop,3,2018/10/22,wednesday
personal,trash,2,2018/10/22,wednesday
personal,water,1,2018/10/22,wednesday
gear lift,finish data updates,5,2018/10/22,wednesday
gear lift,Email Casey,3,2018/10/22,wednesday
gear lift,Email Danny,3,2018/10/22,wednesday
gear lift,Prep for Eliot Call,2,2018/10/22,wednesday
gear lift,Coffee with Danny,3,2018/10/22,wednesday
gear lift,Email Ben,2,2018/10/22,wednesday
gear lift,All skis scrape import datafeed,3,2018/10/22,wednesday
health,Meditate,5,2018/10/22,wednesday
health,lift chest,5,2018/10/22,wednesday
health,Run 4 Miles,5,2018/10/22,wednesday
health,Wake up 5 am,5,2018/10/22,wednesday
health,IF,5,2018/10/29,wednesday
health,Juice,3,2018/10/29,wednesday
health,Meditate,5,2018/10/29,wednesday
health,Wake up 5 am,5,2018/10/29,wednesday
gear lift,Venmo Ben,2,2018/10/29,wednesday
gear lift,Call with Ben,5,2018/10/29,wednesday
personal,Tire fixed,3,2018/10/29,wednesday
personal,Adina Dater,5,2018/10/29,wednesday
personal,Check refund of pajamas,2,2018/10/29,wednesday
health,IF,5,2018/11/05,wednesday
health,Juice,3,2018/11/05,wednesday
health,Meditate,5,2018/11/05,wednesday
health,Wake up 5 am,5,2018/11/05,wednesday
personal,Trash,2,2018/11/05,wednesday
personal,Dog poop,3,2018/11/05,wednesday
gear lift,Remove Freed if intermediate,3,2018/11/05,wednesday
gear lift,Fix skicom link,3,2018/11/05,wednesday
gear lift,Setup logos and work on fonts and colors,8,2018/11/05,wednesday
gear lift,Pick up magazines,5,2018/11/05,wednesday
gear lift,Clean up side profile,3,2018/11/05,wednesday
gear lift,Email eliot show ,3,2018/11/05,wednesday
gear lift,Calculating width in algorithm,5,2018/11/05,wednesday
gear lift,Remove turn style from intermeidat,3,2018/11/05,wednesday
gear lift,Determine price in Algorithm,5,2018/11/05,wednesday
health,IF,5,2018/11/12,wednesday
health,Juice,3,2018/11/12,wednesday
gear lift,Call with Ben,5,2018/11/12,wednesday
gear lift,Data Feed and Validate,3,2018/11/12,wednesday
gear lift,Import skis and validate,2,2018/11/12,wednesday
gear lift,Scrape skis,3,2018/11/12,wednesday
gear lift,Fix Freeride Issue,3,2018/11/12,wednesday
gear lift,Reply to Josh,2,2018/11/12,wednesday
gear lift,Setup Design of Backend,5,2018/11/12,wednesday
gear lift,Setup analytics,3,2018/11/12,wednesday
gear lift,301 Redirects,5,2018/11/12,wednesday
gear lift,Reconcile data,5,2018/11/12,wednesday
health,IF,5,2018/11/19,wednesday
health,Juice,3,2018/11/19,wednesday
personal,pack for aspen,5,2018/11/19,wednesday
vacation,Aspen,10,2018/11/19,wednesday
gear lift,No profile issues,2,2018/11/19,wednesday
gear lift,Safarie Navbar issue,2,2018/11/19,wednesday
gear lift,Womens Image and edits,3,2018/11/19,wednesday
gear lift,Backend tweaks,3,2018/11/26,wednesday
gear lift,Repond to emails,3,2018/11/26,wednesday
gear lift,Respond to emails,5,2018/11/26,wednesday
gear lift,Create list  of outreach,5,2018/11/26,wednesday
gear lift,Send email out to eliot,8,2018/11/26,wednesday
gear lift,Trash,2,2018/11/26,wednesday
health,Lift arms,5,2018/11/26,wednesday
health,IF,5,2018/11/26,wednesday
health,Juice,3,2018/11/26,wednesday
health,Meditate,5,2018/11/26,wednesday
health,Wake up 5 am,5,2018/11/26,wednesday
health,IF,5,2018/12/03,wednesday
health,Juice,3,2018/12/03,wednesday
health,Meditate,5,2018/12/03,wednesday
health,Wake up 5 am,5,2018/12/03,wednesday
health,Ski,8,2018/12/03,wednesday
one_dataset,set up python atom and spyder,3,2017/05/29,wednesday
health,cleanse,3,2015/12/28,tuesday
health,cleanse,3,2016/01/04,tuesday
pipeline,Set up Staging Env,2,2016/02/15,tuesday
personal,Reconcile Wells Fargo Account,3,2016/02/15,tuesday
personal,Order Banff Ticket,1,2016/02/15,tuesday
snowmass,Text Carmen back to back dates,1,2016/02/15,tuesday
personal,Update Githursdaydaysdayb payment info,1,2016/02/15,tuesday
snowmass,Call Jessica Gallegos,1,2016/02/15,tuesday
personal,Cancel Wisemandv google account,1,2016/02/15,tuesday
personal,Cancel Adobe membership,1,2016/02/15,tuesday
personal,Laundry ,1,2016/02/15,tuesday
personal,Reconcile Wells Fargo Account,3,2016/02/15,tuesday
personal,Water Plant,1,2016/02/15,tuesday
personal,Oil Change,2,2016/02/15,tuesday
career_development,Reprint vision on card stock - put in bathroom,1,2016/02/15,tuesday
career_development,Sign up for Treehouse,1,2016/02/15,tuesday
career_development,Setup schedule for Treehouse,2,2016/02/15,tuesday
pipeline,Email Mike about submission,1,2016/02/22,tuesday
pipeline,Set up client_file layout v1,5,2016/02/22,tuesday
pipeline,Setup bootstrap collapes,3,2016/02/22,tuesday
health,3 Mile Run,3,2016/02/22,tuesday
personal,Bring luggaged to TNF Store,2,2016/02/22,tuesday
mortgage_application,Stricker Validations on Numeric Fields Appform,2,2016/02/22,tuesday
mortgage_application,"Fix ""Seperated"" into ""Single"" Problem",2,2016/02/22,tuesday
mortgage_application,Oraganize Appform in Upated at,2,2016/02/22,tuesday
fcfs,Meet with Mike about Future,2,2016/02/22,tuesday
pipeline,Email Mike Meeting times,1,2016/02/29,tuesday
pipeline,Clean up collapes in #show,2,2016/02/29,tuesday
personal,Personal Finances,2,2016/02/29,tuesday
personal,Water Plant,1,2016/02/29,tuesday
personal,Seva,3,2016/02/29,tuesday
personal,Back up computer,2,2016/02/29,tuesday
snowmass,Text Carmen,1,2016/02/29,tuesday
personal,Register Seb for Soccer,2,2016/02/29,tuesday
snowmass,Pay Carmen,2,2016/02/29,tuesday
snowmass,Email Carmen,1,2016/02/29,tuesday
personal,Pay Amex / Banana,2,2016/02/29,tuesday
personal,Research Rose Cutting,1,2016/02/29,tuesday
fcfs,Fixed Rollbar apple-icon errors,3,2016/02/29,tuesday
career_development,Look up Denver.rb meetup,1,2016/02/29,tuesday
career_development,Luch with Karan,2,2016/02/29,tuesday
career_development,TH - The box Model,2,2016/02/29,tuesday
career_development,Email Tim,1,2016/02/29,tuesday
career_development,Follow up with Doug,1,2016/02/29,tuesday
career_development,TH - Understanding Values and Units,2,2016/02/29,tuesday
pipeline,Set up box for notes,3,2016/03/07,tuesday
pipeline,Set up box for tasks,3,2016/03/07,tuesday
pipeline,Fix task order,2,2016/03/07,tuesday
health,Barbell Workout,3,2016/03/07,tuesday
personal,Groceries,2,2016/03/07,tuesday
personal,Walk Frazz,2,2016/03/07,tuesday
personal,Call Lawn Doctor,1,2016/03/07,tuesday
career_development,Denver.rb Meetup,5,2016/03/07,tuesday
pipeline,Fix staging issues,2,2016/03/14,tuesday
pipeline,Get user name on notes,3,2016/03/14,tuesday
pipeline,Add destroy to Notes,2,2016/03/14,tuesday
pipeline,Get Ajax destory working,2,2016/03/14,tuesday
pipeline,Add Additional Conditions,5,2016/03/21,tuesday
health,Meditate,2,2016/03/14,tuesday
personal,Lift weights,3,2016/03/14,tuesday
snowmass,Conirm Jessica cleaning,1,2016/03/14,tuesday
personal,Personal finances,2,2016/03/21,tuesday
personal,Setup March Business Exp Report,2,2016/03/21,tuesday
personal,Trim Toe nails,1,2016/03/21,tuesday
health,Meditate,2,2016/03/21,tuesday
personal,Groceries,2,2016/03/21,tuesday
personal,Water Plant,1,2016/03/21,tuesday
personal,Fix flooring on door,2,2016/03/21,tuesday
career_development,Meet with Rachel davis,3,2016/03/14,tuesday
personal,Lift weights,2,2016/03/28,tuesday
pipeline,Fix Date picker on update,3,2016/04/04,tuesday
pipeline,Immediate CSS Feedback tables,5,2016/04/04,tuesday
pipeline,Add Destroy to client_file ,3,2016/04/04,tuesday
pipeline,Clean up Modal File,2,2016/04/11,tuesday
personal,Trim,1,2016/04/11,tuesday
personal,Water Plant,1,2016/04/11,tuesday
health,Call Dr. Martin,1,2016/04/11,tuesday
snowmass,Bookings of Snowmass in calendar,1,2016/04/11,tuesday
personal,Personal Finances,2,2016/04/11,tuesday
personal,Groceries,2,2016/04/11,tuesday
personal,Meet with sprinkler guy,2,2016/04/11,tuesday
health,Set up Dentist Appoinment,1,2016/04/18,tuesday
personal,Text luke,1,2016/04/18,tuesday
fcfs,Meet with Amy and Mike,2,2016/04/18,tuesday
pipeline,LO mali to link,3,2016/04/25,tuesday
pipeline,Conventional Refi list,3,2016/04/25,tuesday
personal,Dog Food,2,2016/04/25,tuesday
personal,Laundry,2,2016/04/25,tuesday
fcfs,Brakeman,1,2016/04/25,tuesday
fcfs,Bundle Audit,1,2016/04/25,tuesday
fcfs,DB-backup,1,2016/04/25,tuesday
career_development,Up heroku level,2,2016/04/25,tuesday
career_development,Stream graph in Header,3,2016/04/25,tuesday
personal,Call Bruce,2,2016/05/02,tuesday
personal,Call holly,2,2016/05/02,tuesday
personal,Pick up dog poop,2,2016/05/02,tuesday
health,Dinner prep,2,2016/05/02,tuesday
career_development,Get scrum,8,2016/05/02,tuesday
career_development,Get scrum data in chart,5,2016/05/02,tuesday
career_development,Get scrum data in header and responsive,5,2016/05/02,tuesday
pipeline,Sort by 3 columns,3,2016/05/02,tuesday
pipeline,Inspection dat and resolution on template,3,2016/05/09,tuesday
pipeline,Inspection resolution on loan modal,3,2016/05/09,tuesday
pipeline,clean up modal,3,2016/05/09,tuesday
pipeline,Run SQL update ,3,2016/05/09,tuesday
pipeline,Dates and Deadlines section on loan modal,2,2016/05/09,tuesday
pipeline,Additional Conditions at top of list,3,2016/05/09,tuesday
personal,call Luiz,1,2016/05/09,tuesday
personal,call Joel,1,2016/05/09,tuesday
snowmass,book out snowmass,2,2016/05/09,tuesday
personal,get new audible book,2,2016/05/09,tuesday
personal,Call tim,2,2016/05/09,tuesday
career_development,Fix table circles,3,2016/05/09,tuesday
career_development,Basic layout and table ranking,3,2016/05/09,tuesday
pipeline,Fix radio javascript,5,2016/05/16,tuesday
health,run 25 mins,2,2016/05/16,tuesday
personal,Review and respond to race info,3,2016/05/16,tuesday
career_development,try new fonts,5,2016/05/16,tuesday
career_development,Respond to recruiters,3,2016/05/16,tuesday
career_development,Reach out to Mathew Nichols,3,2016/05/16,tuesday
fcfs,meet with Chris,2,2016/05/16,tuesday
pipeline,a,5,2016/05/23,tuesday
personal,a,22,2016/05/23,tuesday
career_development,a,0,2016/05/23,tuesday
fcfs,a,6,2016/05/23,tuesday
pipeline,reply to mike,2,2016/05/30,tuesday
pipeline,complete migation of task_defn_list,2,2016/05/30,tuesday
pipeline,Conv refi migation,2,2016/05/30,tuesday
pipeline,FHA SL refi no app migration,2,2016/05/30,tuesday
pipeline,Drop transaction tpe from task_defn,2,2016/05/30,tuesday
pipeline,Convetional purchase,2,2016/05/30,tuesday
personal,update scrum,2,2016/05/30,tuesday
personal,call eye glass company,1,2016/05/30,tuesday
personal,personal finances,2,2016/05/30,tuesday
personal,Endorse Rachel Davis,3,2016/05/30,tuesday
personal,create new scrum sheets,2,2016/05/30,tuesday
career_development,respond to brett,1,2016/05/30,tuesday
health,whole 30,2,2016/06/06,tuesday
pipeline,VOE on summary page with dates,5,2016/06/06,tuesday
pipeline,Remove old transaction types,2,2016/06/06,tuesday
pipeline,Add Space after add client file,1,2016/06/06,tuesday
pipeline,LOD Turn on Red dashboard,3,2016/06/06,tuesday
pipeline,Disable transaction type on edit,2,2016/06/06,tuesday
career_development,resume section,5,2016/06/06,tuesday
personal,Water plant,1,2016/06/06,tuesday
health,whole 30,2,2016/06/13,tuesday
pipeline,Update controller for check spec,3,2016/06/13,tuesday
pipeline,Update model for checked mailer,3,2016/06/13,tuesday
pipeline,Write test for checked mailer,5,2016/06/13,tuesday
health,Yoga,2,2016/06/13,tuesday
snowmass,Review lease and send back,5,2016/06/13,tuesday
personal,Fertilze rosebushes,3,2016/06/13,tuesday
fcfs,data transfre,1,2016/06/13,tuesday
health,whole 30,2,2016/06/20,tuesday
pipeline,Fix multiple emails,3,2016/06/20,tuesday
pipeline,Update Timetables,2,2016/06/20,tuesday
pipeline,Fix sort on dashboard,3,2016/06/20,tuesday
pipeline,Setup Migration for Status change,2,2016/06/20,tuesday
pipeline,Update task list of rstatus with Migration,3,2016/06/20,tuesday
pipeline,Clearned up mailers,3,2016/06/20,tuesday
pipeline,Conditions cleared waiting on VOE mailer,3,2016/06/20,tuesday
pipeline,Requested conditions borrower mailer,3,2016/06/20,tuesday
snowmass,Email evolve renters,2,2016/06/20,tuesday
personal,Text Joel,1,2016/06/20,tuesday
personal,Call Joey back,2,2016/06/20,tuesday
personal,call roofing co,1,2016/06/20,tuesday
health,whole 30,2,2016/06/27,tuesday
personal,Deposit reiumbrement check,2,2016/06/27,tuesday
personal,Meet with Romy,2,2016/06/27,tuesday
personal,Cut water melon and cantelop,2,2016/06/27,tuesday
personal,Pay Eliot,2,2016/06/27,tuesday
personal,Costco,2,2016/06/27,tuesday
fcfs,rspec,1,2016/06/27,tuesday
fcfs,Bundle Audit,1,2016/06/27,tuesday
fcfs,brakeman,1,2016/06/27,tuesday
fcfs,data backup,1,2016/06/27,tuesday
fcfs,Data transfer,1,2016/06/27,tuesday
pipeline,meet with mike about dashboard,3,2016/06/27,tuesday
pipeline,Add side bar to navigation,5,2016/06/27,tuesday
pipeline,Add timeline to baseceamp,2,2016/06/27,tuesday
pipeline,Fix timestamp issue,3,2016/06/27,tuesday
pipeline,Fix deveopment env,3,2016/06/27,tuesday
personal,Water plant,1,2016/07/04,tuesday
personal,Personal finances,2,2016/07/04,tuesday
personal,Cut water melon make jerky,5,2016/07/04,tuesday
personal,Trim Bushes around sign,3,2016/07/04,tuesday
personal,Meet sprinkler guy,2,2016/07/04,tuesday
personal,Text Jerry,2,2016/07/04,tuesday
snowmass,Call in floor rep,1,2016/07/04,tuesday
personal,Call on car ,2,2016/07/04,tuesday
personal,Order big bag,2,2016/07/04,tuesday
personal,look at plan for treehouse,2,2016/07/04,tuesday
personal,Email gear list,2,2016/07/04,tuesday
personal,Weed garden,3,2016/07/04,tuesday
fcfs,meet with FCFS team,3,2016/07/11,tuesday
personal,Trim bushes around fence,3,2016/07/11,tuesday
personal,clean fish tank,3,2016/07/11,tuesday
personal,Back up computer,2,2016/07/11,tuesday
personal,Text Joey about Mt biking,2,2016/07/11,tuesday
personal,Pay Noe,2,2016/07/11,tuesday
personal,Water plant,1,2016/07/11,tuesday
personal,Menu ,2,2016/07/11,tuesday
personal,Weed garden,3,2016/07/11,tuesday
personal,Groceries,2,2016/07/11,tuesday
personal,Meet with Jerry,2,2016/07/11,tuesday
health,Wake up @ 6am,2,2016/07/11,tuesday
health,in bed at 10pm ,2,2016/07/11,tuesday
health,No fap,2,2016/07/11,tuesday
fcfs,Copy Paul Notes,2,2016/07/18,tuesday
health,in bed at 10pm ,2,2016/07/18,tuesday
health,Wake up @ 6am,2,2016/07/18,tuesday
personal,Frazz vet appt,3,2016/07/18,tuesday
health,Mt bike with Joey,3,2016/07/18,tuesday
personal,tuesday dinner,3,2016/07/18,tuesday
personal,Water garden,2,2016/07/18,tuesday
health,No fap,2,2016/07/18,tuesday
health,Wake up @ 6am,2,2016/07/25,tuesday
personal,Laundry,2,2016/07/25,tuesday
personal,Clean up Trash pile,3,2016/07/25,tuesday
pipeline,Prospect notes feature,10,2016/07/25,tuesday
pipeline,set up integer carry,3,2016/08/01,tuesday
pipeline,remove holiday from rb files,3,2016/08/01,tuesday
pipeline,rearrgne main dashboard page,2,2016/08/01,tuesday
pipeline,Set up new task list for status,5,2016/08/01,tuesday
pipeline,Adjust LO comp to 60%,3,2016/08/01,tuesday
pipeline,Set up Revenue system summary,3,2016/08/01,tuesday
fcfs,meet with mike,5,2016/08/01,tuesday
personal,Menu,2,2016/08/01,tuesday
personal,Groceries,2,2016/08/01,tuesday
personal,Text joel back,1,2016/08/01,tuesday
personal,Set up time with eliot on calendly,2,2016/08/01,tuesday
snowmass,Reach out to cleans and renters,3,2016/08/01,tuesday
personal,Get montessori calendar ,3,2016/08/01,tuesday
personal,Talley Scrum,3,2016/08/01,tuesday
personal,Update scrum graphs,3,2016/08/01,tuesday
health,No fap,2,2016/08/01,tuesday
health,wake up @ 6am,2,2016/08/01,tuesday
snowmass,gutter extenders,3,2016/08/08,tuesday
snowmass,confirm jessica cleaning,2,2016/08/08,tuesday
snowmass,clean filters on sprinkler pump,2,2016/08/08,tuesday
snowmass,clean gutters,3,2016/08/08,tuesday
snowmass,cob webs,3,2016/08/08,tuesday
snowmass,Fix saggy gutters,2,2016/08/08,tuesday
snowmass,Put salt in softner,2,2016/08/08,tuesday
snowmass,habitat drop off,3,2016/08/08,tuesday
personal,respond to megan murray,2,2016/08/08,tuesday
personal,respond to maxwell guy murray,2,2016/08/08,tuesday
personal,Get new tires,3,2016/08/15,tuesday
personal,Reset garage wifi,3,2016/08/15,tuesday
personal,Book calendly appt,1,2016/08/15,tuesday
personal,cancel rob code,2,2016/08/15,tuesday
personal,Thank you text to Luke,2,2016/08/15,tuesday
board,Board Meeting,5,2016/08/15,tuesday
personal,Refill persciption,2,2016/08/15,tuesday
personal,Orgainze pills,2,2016/08/15,tuesday
health,wake up @ 6am,2,2016/08/15,tuesday
health,No fap,2,2016/08/15,tuesday
health,in bed at 10pm ,2,2016/08/15,tuesday
health,meditate,2,2016/08/15,tuesday
fcfs,Update rails per security update,2,2016/08/15,tuesday
fcfs,Reach out to Mindy waite,2,2016/08/15,tuesday
fcfs,Brakeman audit rspec data-transfer,4,2016/08/15,tuesday
fcfs,Business expense plan,3,2016/08/15,tuesday
pipeline,Appraisal DL removed when signed off,2,2016/08/15,tuesday
pipeline,loan objection del removed when cleared to close,2,2016/08/15,tuesday
pipeline,Removed application received in new prospect,2,2016/08/15,tuesday
pipeline,Schedule Back up DB,3,2016/08/15,tuesday
health,organize pills,2,2016/08/22,tuesday
health,wake up @ 6am,2,2016/08/22,tuesday
health,No fap,2,2016/08/22,tuesday
health,in bed at 10pm ,2,2016/08/22,tuesday
health,Whole 30,2,2016/08/22,tuesday
health,Meditate,2,2016/08/22,tuesday
snowmass,call logan,2,2016/08/22,tuesday
snowmass,Call Ray,2,2016/08/22,tuesday
fcfs,Meet with Paul,2,2016/08/22,tuesday
pipeline,Move add prospect to top,3,2016/08/22,tuesday
pipeline,Get filter working,3,2016/08/22,tuesday
pipeline,Bold footer,2,2016/08/22,tuesday
pipeline,# sign footer,2,2016/08/22,tuesday
pipeline,Get sort/sum footer working,5,2016/08/22,tuesday
pipeline,change VA/ HOA issue,3,2016/08/29,tuesday
health,wake up @ 6am,2,2016/08/29,tuesday
health,No fap,2,2016/08/29,tuesday
health,Run 2.5 miles,2,2016/08/29,tuesday
fcfs,mike meeting,5,2016/08/29,tuesday
personal,Goodwill,2,2016/08/29,tuesday
personal,Adina b-day,5,2016/09/05,tuesday
personal,respond to karan,1,2016/09/05,tuesday
personal,Text mitch alarm code,1,2016/09/05,tuesday
personal,Reach out to Mike spiez,2,2016/09/05,tuesday
personal,Reply to melanie,1,2016/09/05,tuesday
personal,help move stuff home,3,2016/09/05,tuesday
career_development,Update adobe illustrator,2,2016/09/05,tuesday
career_development,Static resume rough draft,8,2016/09/05,tuesday
pipeline,reach out to lara's dad,2,2016/09/05,tuesday
snowmass,email renee,5,2016/09/05,tuesday
health,Meditate,2,2016/09/05,tuesday
health,Run 5 Miles,5,2016/09/05,tuesday
health,organize pills,2,2016/09/05,tuesday
health,wake up @ 6am,2,2016/09/05,tuesday
snowmass,check to Adina,1,2016/09/12,tuesday
snowmass,Schedule window measure,3,2016/09/12,tuesday
personal,Groceries,2,2016/09/12,tuesday
personal,Menu,2,2016/09/12,tuesday
personal,Stop by floyd and pick up clothes,3,2016/09/12,tuesday
fcfs,Sort mikes prospect list,2,2016/09/12,tuesday
fcfs,c2c issue,3,2016/09/12,tuesday
fcfs,"brakeman, audit, rspec",3,2016/09/12,tuesday
fcfs,Finish big deciaml,2,2016/09/12,tuesday
fcfs,update gems,5,2016/09/12,tuesday
fcfs,Amy mailer first cut,5,2016/09/12,tuesday
career_development,Profile modals,8,2016/09/12,tuesday
health,Meditate,2,2016/09/12,tuesday
health,wake up @ 6am,2,2016/09/12,tuesday
health,Paleo,2,2016/09/12,tuesday
health,No fap,2,2016/09/12,tuesday
fcfs,send eliot message about mailers,2,2016/09/19,tuesday
fcfs,Add font in awesome gem,2,2016/09/19,tuesday
fcfs,Amy mailer dv2,5,2016/09/19,tuesday
fcfs,Loading icon,3,2016/09/19,tuesday
fcfs,closed files editable,3,2016/09/19,tuesday
fcfs,Remove boostrap icon,3,2016/09/19,tuesday
fcfs,Remove jbuilder gem,2,2016/09/19,tuesday
career_development,Resolve root domain issue,3,2016/09/19,tuesday
personal,groceries,2,2016/09/19,tuesday
personal,call on bike consignment,1,2016/09/19,tuesday
personal,Laundry,2,2016/09/19,tuesday
personal,pick up house,2,2016/09/19,tuesday
personal,Pay alarm permit,2,2016/09/19,tuesday
personal,back up computer,2,2016/09/19,tuesday
snowmass,pay ram pest control,2,2016/09/19,tuesday
