category,task,value,date,day
career_development,Media Queiries in Header,3,2016/04/25,wednesday
career_development,Header transition on load,3,2016/04/25,wednesday
career_development,Stream graph header responsive,5,2016/04/25,wednesday
career_development,Get basic d3 example working,3,2016/04/25,wednesday
personal,Spray weeds in front yard,5,2016/05/02,wednesday
personal,Clean out sebastian clothes,5,2016/05/02,wednesday
personal,Trash,2,2016/05/02,wednesday
personal,Trim bushes,5,2016/05/02,wednesday
personal,Reply to Joel,2,2016/05/02,wednesday
personal,Menu,2,2016/05/02,wednesday
health,Dinner prep,2,2016/05/02,wednesday
personal,Walk Frazz,2,2016/05/02,wednesday
personal,Groceries,2,2016/05/02,wednesday
career_development,Research profile examples,2,2016/05/02,wednesday
pipeline,Add breakout of townhome and condo on submission,3,2016/05/09,wednesday
snowmass,Call Hiberto,2,2016/05/09,wednesday
personal,Trash,2,2016/05/09,wednesday
personal,Personal Finances,5,2016/05/09,wednesday
personal,Call dad,2,2016/05/09,wednesday
personal,Run 3 Miles,2,2016/05/09,wednesday
personal,Econmist speaker,3,2016/05/09,wednesday
fcfs,Bundle Audit,1,2016/05/09,wednesday
fcfs,brakeman,1,2016/05/09,wednesday
fcfs,Data transfer,1,2016/05/09,wednesday
fcfs,DB-backup,1,2016/05/09,wednesday
personal,Buy Seb snake,2,2016/05/16,wednesday
health,Mediate,2,2016/05/16,wednesday
personal,Mail back Wedding invite,1,2016/05/16,wednesday
snowmass,Pack for Snowmass,3,2016/05/16,wednesday
snowmass,Ground clear driveway,5,2016/05/16,wednesday
career_development,Add design table,2,2016/05/16,wednesday
career_development,Contact section,5,2016/05/16,wednesday
career_development,Schedule time with Jennifer,2,2016/05/16,wednesday
fcfs,brakeman,1,2016/05/16,wednesday
pipeline,a,13,2016/05/23,wednesday
personal,a,20,2016/05/23,wednesday
career_development,aa,5,2016/05/23,wednesday
fcfs,a,0,2016/05/23,wednesday
pipeline,Convetional SFR purchase condo migration,2,2016/05/30,wednesday
pipeline,FHA condo refi no app migration no app,2,2016/05/30,wednesday
pipeline,Conv Condo refi migration,2,2016/05/30,wednesday
pipeline,Jumbo SFR migration,2,2016/05/30,wednesday
pipeline,FHA SFR purchase migration,2,2016/05/30,wednesday
pipeline,FHA condo migration,2,2016/05/30,wednesday
pipeline,FHA SL SFR refi migration,2,2016/05/30,wednesday
pipeline,FHA SL condo refi,2,2016/05/30,wednesday
health,Run 4 miles,3,2016/05/30,wednesday
personal,call eye glass company again,1,2016/05/30,wednesday
health,whole 30,2,2016/06/06,wednesday
career_development,resume section,5,2016/06/06,wednesday
personal,Menu,2,2016/06/06,wednesday
personal,Back up computer,2,2016/06/06,wednesday
personal,Return rental car,5,2016/06/06,wednesday
personal,Air conditioner set-up,2,2016/06/06,wednesday
personal,Meet with Widnow guys,2,2016/06/06,wednesday
personal,Trash,2,2016/06/06,wednesday
personal,Groceries,2,2016/06/06,wednesday
health,whole 30,2,2016/06/13,wednesday
career_development,reply to linked in recruiter,2,2016/06/13,wednesday
personal,water garden,2,2016/06/13,wednesday
personal,Eye appointment,3,2016/06/13,wednesday
personal,Buy Brady wedding gift,3,2016/06/13,wednesday
personal,Reply to Angela,2,2016/06/13,wednesday
board,Board meeting,3,2016/06/13,wednesday
personal,Trash ,2,2016/06/13,wednesday
personal,Birthday card for lexi and mom,5,2016/06/13,wednesday
fcfs,brakeman,1,2016/06/13,wednesday
fcfs,data backup,1,2016/06/13,wednesday
fcfs,Update Nokigiri,2,2016/06/13,wednesday
fcfs,Bundle Audit,1,2016/06/13,wednesday
health,whole 30,2,2016/06/20,wednesday
pipeline,Add 4 days to 4506 T,3,2016/06/20,wednesday
pipeline,Basecamp Timeline,2,2016/06/20,wednesday
pipeline,Clean up mailers,3,2016/06/20,wednesday
personal,Text Joey,1,2016/06/20,wednesday
personal,Up sprinkler stop sign section,2,2016/06/20,wednesday
health,Run 5.25 miles,5,2016/06/20,wednesday
personal,Spray weeds in front yard,2,2016/06/20,wednesday
personal,Move monitor back home,3,2016/06/20,wednesday
personal,Call on car,1,2016/06/20,wednesday
personal,Personal Finances,2,2016/06/20,wednesday
personal,Setup google doc for decorator,2,2016/06/20,wednesday
personal,Clean up weeds in front yard,2,2016/06/20,wednesday
personal,Trash,2,2016/06/20,wednesday
personal,Return BR pants,2,2016/06/20,wednesday
health,whole 30,2,2016/06/27,wednesday
personal,call vsp,2,2016/06/27,wednesday
personal,Respond to roofing co,1,2016/06/27,wednesday
personal,call and get copy of eye perscrption,2,2016/06/27,wednesday
personal,Back up computer,2,2016/06/27,wednesday
personal,Call and get perscription again,2,2016/06/27,wednesday
personal,Order Warby parker,2,2016/06/27,wednesday
personal,Call on moving and storage,3,2016/06/27,wednesday
health,Run 50 mins,5,2016/06/27,wednesday
personal,Send back warby parker,2,2016/06/27,wednesday
snowmass,Reach out to evolve about booking,2,2016/06/27,wednesday
snowmass,Email French Moore,3,2016/06/27,wednesday
personal,Call back rich,2,2016/06/27,wednesday
personal,Trash ,2,2016/06/27,wednesday
personal,Orgainze pills,2,2016/06/27,wednesday
personal,TN,2,2016/06/27,wednesday
personal,Boulder Running co,2,2016/06/27,wednesday
personal,Move out of officer,2,2016/06/27,wednesday
personal,Buy tomoto rack and spary,3,2016/06/27,wednesday
personal,Spary off walkway,3,2016/06/27,wednesday
personal,spray off garden area,2,2016/06/27,wednesday
personal,Spray off side yard,2,2016/06/27,wednesday
personal,Personal finances,2,2016/06/27,wednesday
health,Call on perscriptoin,1,2016/06/27,wednesday
personal,Hose off front of house,3,2016/06/27,wednesday
personal,Call back mom,1,2016/06/27,wednesday
personal,Send contract back to roofing co,2,2016/06/27,wednesday
personal,Send in Nanny docs,3,2016/06/27,wednesday
personal,pay amex,2,2016/07/04,wednesday
personal,call joel back,1,2016/07/04,wednesday
personal,pick up car at groove,2,2016/07/04,wednesday
health,Organize Pills,2,2016/07/04,wednesday
personal,call about rock climbing,1,2016/07/04,wednesday
personal,Hair cut,3,2016/07/04,wednesday
personal,Pick up perscriptoin,2,2016/07/04,wednesday
career_development,screen size issues,2,2016/07/04,wednesday
career_development,created pipeline template,2,2016/07/04,wednesday
career_development,create close on time tool template,2,2016/07/04,wednesday
career_development,research case study views,1,2016/07/04,wednesday
career_development,create appform template,2,2016/07/04,wednesday
fcfs,Meet with Mike,3,2016/07/11,wednesday
pipeline,set up prospect view model,3,2016/07/11,wednesday
pipeline,"set up prospect template, route, controller",3,2016/07/11,wednesday
pipeline,create another show page,3,2016/07/11,wednesday
health,organize pills,2,2016/07/11,wednesday
personal,Pack for aspen to crested butte,3,2016/07/11,wednesday
personal,Trim bushes aroudn fence,3,2016/07/11,wednesday
personal,Fill out race info,2,2016/07/11,wednesday
snowmass,Purchase more tile form HD,3,2016/07/11,wednesday
personal,Buy map sock and research apsen to crested butte,3,2016/07/11,wednesday
personal,Meet with Jerry,2,2016/07/11,wednesday
personal,Water garden and plants,2,2016/07/11,wednesday
health,Wake up @ 6am,2,2016/07/11,wednesday
health,in bed at 10pm ,2,2016/07/11,wednesday
personal,trash,2,2016/07/11,wednesday
health,No fap,2,2016/07/11,wednesday
pipeline,clean up new prospect table,3,2016/07/18,wednesday
health,in bed at 10pm ,2,2016/07/18,wednesday
health,Wake up @ 6am,2,2016/07/18,wednesday
personal,Menu,2,2016/07/18,wednesday
health,30 min run,3,2016/07/18,wednesday
personal,Groceries,2,2016/07/18,wednesday
personal,Send nanny docs to diana,2,2016/07/18,wednesday
health,Organize pills,2,2016/07/18,wednesday
snowmass,book storage unit,3,2016/07/18,wednesday
personal,Meet with Jerry mitch and electrician,2,2016/07/18,wednesday
personal,Set up business expense plan,3,2016/07/18,wednesday
personal,Weed garden,3,2016/07/18,wednesday
personal,ground clear front yeard,3,2016/07/18,wednesday
personal,Text Jerry,2,2016/07/18,wednesday
personal,back up computer,2,2016/07/18,wednesday
personal,spray garden,3,2016/07/18,wednesday
personal,change hoses,3,2016/07/18,wednesday
personal,send claim to vsp,2,2016/07/18,wednesday
personal,spray beetles,3,2016/07/18,wednesday
personal,water plant,1,2016/07/18,wednesday
personal,trash,2,2016/07/18,wednesday
health,No fap,2,2016/07/18,wednesday
health,Wake up @ 6am,2,2016/07/25,wednesday
health,10 mil run,8,2016/07/25,wednesday
personal,Call Vet back,2,2016/07/25,wednesday
personal,Trash,2,2016/07/25,wednesday
board,Board Meeting,5,2016/07/25,wednesday
pipeline,Test and clean up,10,2016/07/25,wednesday
personal,trash,2,2016/08/01,wednesday
snowmass,Reach out to storage guy,2,2016/08/01,wednesday
personal,lunch with karan,3,2016/08/01,wednesday
health,No fap,2,2016/08/01,wednesday
health,wake up @ 6am,2,2016/08/01,wednesday
personal ,weed garden,3,2016/08/01,wednesday
personal,Add health to scrum board,3,2016/08/01,wednesday
personal,Pick up bike,2,2016/08/01,wednesday
personal,Text Lara about bread book,2,2016/08/01,wednesday
personal,Order bagster pickup,2,2016/08/01,wednesday
snowmass,Pay Noe,2,2016/08/01,wednesday
snowmass,clean lights,2,2016/08/08,wednesday
snowmass,calk shower,2,2016/08/08,wednesday
snowmass,clean out garage,5,2016/08/08,wednesday
snowmass,clean up bp garden,3,2016/08/08,wednesday
snowmass,pack up stuff to take home,5,2016/08/08,wednesday
snowmass,Fix screen and clean,3,2016/08/08,wednesday
snowmass,clean door crack ,2,2016/08/08,wednesday
snowmass,Laundry,2,2016/08/08,wednesday
personal,pack for run,2,2016/08/08,wednesday
personal,dinner with Bruce and Lara,3,2016/08/08,wednesday
personal,Deposit reimbursement check,2,2016/08/15,wednesday
personal,Respond to Angela,2,2016/08/15,wednesday
personal,call joel back,1,2016/08/15,wednesday
personal,cancel home away,2,2016/08/15,wednesday
personal,Buy mouth wash pick up perscription,2,2016/08/15,wednesday
personal,book flight and hotel to Vegas,5,2016/08/15,wednesday
personal,call about swimming,2,2016/08/15,wednesday
personal,cancel evolve,2,2016/08/15,wednesday
personal,call leslie,1,2016/08/15,wednesday
health,wake up @ 6am,2,2016/08/15,wednesday
health,No fap,2,2016/08/15,wednesday
health,in bed at 10pm ,2,2016/08/15,wednesday
fcfs,call with maxwell mortgage,3,2016/08/15,wednesday
health,wake up @ 6am,2,2016/08/22,wednesday
health,No fap,2,2016/08/22,wednesday
health,in bed at 10pm ,2,2016/08/22,wednesday
health,Whole 30,2,2016/08/22,wednesday
health,meditate,2,2016/08/22,wednesday
health,Dentitst apt.,3,2016/08/22,wednesday
personal,Trash,2,2016/08/22,wednesday
personal,Fill out financial MSWP,2,2016/08/22,wednesday
personal,Follow up about swimming,2,2016/08/22,wednesday
pipeline,Meet with Keith,5,2016/08/22,wednesday
snowmass,Get windows set up with logan,2,2016/08/22,wednesday
health,wake up @ 6am,2,2016/08/29,wednesday
health,No fap,2,2016/08/29,wednesday
health,origanize pills,2,2016/08/29,wednesday
health,massage,2,2016/08/29,wednesday
pipeline,Text paresh,3,2016/08/29,wednesday
pipeline,Call with Lara,3,2016/08/29,wednesday
fcfs,Bundle audit brakeman,2,2016/08/29,wednesday
fcfs,Reach out to mike,3,2016/08/29,wednesday
personal,trash,2,2016/08/29,wednesday
personal,turn down sprinklers,1,2016/08/29,wednesday
personal,respond to diana,1,2016/08/29,wednesday
personal,water plant,1,2016/08/29,wednesday
personal,coffee wih Cary,2,2016/08/29,wednesday
personal,Back up computer,2,2016/08/29,wednesday
personal,Walk frazz,2,2016/08/29,wednesday
personal,Personal finances,3,2016/08/29,wednesday
personal,Weed garden,2,2016/08/29,wednesday
board,Reach out to board about timelines,2,2016/08/29,wednesday
snowmass,follow up with logan,1,2016/08/29,wednesday
snowmass,update renee,1,2016/08/29,wednesday
personal,clean out closet,3,2016/09/05,wednesday
personal,Back up computer,2,2016/09/05,wednesday
personal,Reply to mike about refi,1,2016/09/05,wednesday
fcfs,Update basecamp,3,2016/09/05,wednesday
fcfs,meet with mike,3,2016/09/05,wednesday
health,meditate,2,2016/09/05,wednesday
health,wake up @ 6am,2,2016/09/05,wednesday
pipeline,book hotel,3,2016/09/12,wednesday
pipeline,Listen to 3 chapters,3,2016/09/12,wednesday
snowmass,Pay Snowmass HOA,2,2016/09/12,wednesday
snowmass,Email about sprinkler blowout,2,2016/09/12,wednesday
personal,Order persciption,2,2016/09/12,wednesday
personal,Laundry,2,2016/09/12,wednesday
personal,car wash,2,2016/09/12,wednesday
personal,Pay global medicine,2,2016/09/12,wednesday
personal,Back up computer,2,2016/09/12,wednesday
personal,Update watch,2,2016/09/12,wednesday
board,Email mary,2,2016/09/12,wednesday
fcfs,bin notes readme,2,2016/09/12,wednesday
fcfs,Update bundle outdated notes,2,2016/09/12,wednesday
career_development,contact info alignment,2,2016/09/12,wednesday
career_development,Modal round 2,5,2016/09/12,wednesday
career_development,Intro statement,3,2016/09/12,wednesday
career_development,Radar chart modal,5,2016/09/12,wednesday
career_development,logo favicon,5,2016/09/12,wednesday
career_development,Respnosive header,3,2016/09/12,wednesday
career_development,Responsive greater than 1900,3,2016/09/12,wednesday
health,Meditate,2,2016/09/12,wednesday
health,wake up @ 6am,2,2016/09/12,wednesday
health,Paleo,2,2016/09/12,wednesday
health,No fap,2,2016/09/12,wednesday
career_development,career path how client,3,2016/09/19,wednesday
career_development,career path pros/cons,5,2016/09/19,wednesday
career_development,Update fixed resume,3,2016/09/19,wednesday
health,wake up @ 6am,2,2016/09/19,wednesday
health,in bed at 10pm,2,2016/09/19,wednesday
health,orgainzie pills,2,2016/09/19,wednesday
health,Run 5 miles,5,2016/09/19,wednesday
personal,call on shoes,2,2016/09/19,wednesday
personal,Return shoes,2,2016/09/19,wednesday
personal,Meet with Rubin,2,2016/09/19,wednesday
fcfs,General notes box,5,2016/09/26,wednesday
pipeline,pack for atlanta and travel,5,2016/09/26,wednesday
personal,Buy sock,3,2016/09/26,wednesday
health,wake up @ 6am,2,2016/09/26,wednesday
health,No fap,2,2016/09/26,wednesday
health,orgainzie pills,2,2016/09/26,wednesday
health,Meditate,2,2016/09/26,wednesday
health,"Run 3 miles, 50 push ups, 50 squeezers",4,2016/09/26,wednesday
personal,back up computer,2,2016/10/03,wednesday
personal,Oil change,3,2016/10/03,wednesday
personal,check on spirit air,2,2016/10/03,wednesday
personal,Walk frazz,2,2016/10/03,wednesday
fcfs,Fix recisions period,3,2016/10/03,wednesday
fcfs,Delete old branch,2,2016/10/03,wednesday
health,biotin and saw,2,2016/10/03,wednesday
health,wake up @ 6am,2,2016/10/03,wednesday
health,No fap,2,2016/10/03,wednesday
health,in bed at 10pm,2,2016/10/03,wednesday
career_development,pipeline images,3,2016/10/03,wednesday
career_development,Delete old branch,1,2016/10/03,wednesday
career_development,pipeline images vergage dv1,3,2016/10/03,wednesday
pipeline,Respond to Liz,1,2016/10/10,wednesday
pipeline,Finish start small book,3,2016/10/10,wednesday
health,"Run 3 miles, 50 push ups, 50 squeezers",4,2016/10/10,wednesday
health,wake up @ 6am,2,2016/10/10,wednesday
health,in bed at 10pm,2,2016/10/10,wednesday
health,Paleo,2,2016/10/10,wednesday
health,No fap,2,2016/10/10,wednesday
personal,book spirit air,3,2016/10/10,wednesday
personal,Pay amex,2,2016/10/10,wednesday
personal,Personal finances,2,2016/10/10,wednesday
personal,call about rock tubmler and pick up,3,2016/10/10,wednesday
personal,Charge fit bit,1,2016/10/10,wednesday
personal,Venmo adina,2,2016/10/10,wednesday
personal,Back up computer,2,2016/10/10,wednesday
personal,check post office,3,2016/10/17,wednesday
personal,Fill out conscious transformation paperwork,2,2016/10/17,wednesday
personal,back up computer,2,2016/10/17,wednesday
