key,site,name,date,spacer,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
colorado,9427520,Arizona,1965-01-01,0,0,9473,8312,7552,9557,9157,10170,11560,12710,12230,11490,10750,10510,10070,9756,8679,9067,9224,9294,9020,8808,9440,9106,8853,8737,8526,8851,8892
colorado,9429100,Arizona,1966-01-01,0,0,7243,6381,6086,7597,7270,7853,9648,10510,9817,9142,8394,8253,7646,7253,6402,7331,6952,7165,7041,7047,7451,7171,6786,6836,6782,6983,6777
colorado,9429500,Arizona,1967-01-01,0,0,471.1,398.8,386.7,328.9,316.8,477.3,1840,864.3,679.5,633,583.7,477.4,468.9,543.1,496.3,535.7,564.2,535.5,501.1,606.8,459.6,470.3,542.6,373.7,317.9,436.8,550.3846154
colorado,9429500,Arizona,1968-01-01,0,0,471.1,398.8,386.7,328.9,316.8,477.3,1840,864.3,679.5,633,583.7,477.4,468.9,543.1,496.3,535.7,564.2,535.5,501.1,606.8,459.6,470.3,542.6,373.7,317.9,436.8,550.3846154
colorado,9404200,Arizona,1969-01-01,0,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010
gunnision,9128000,Colorado,1952-01-01,45500,600,50.3,43.8,70.7,50.6,98.1,84.5,104.3,57.9,64.9,60.8,44.7,26.4,82.1,40.8,67.6,48.7,39.4,66.3,74.6,69.7,178.7,34.7,52.9,114.1,98.1,65,79.4
gunnision,9144250,Colorado,1953-01-01,6700,0,975.2,917.5,1574,897.8,2130,1469,1965,1251,1025,1067,654.9,535.5,401,401.6,749.8,755.5,882.4,1766,1178,729.1,1260,684.3,406,1019,979.7,997,1284
gunnision,9152500,Colorado,1954-01-01,4000,0,1391,1421,2743,1377,3437,2167,3005,2300,1555,1484,1047,707.6,819.4,791.3,1721,1444,1476,2696,1959,1294,2213,992.1,726.7,1643,1661,1650,2057
gunnision,9128002,Colorado,1955-01-01,1000,0,1391,1421,2743,1377,3437,2167,3005,2300,1555,1484,1047,707.6,819.4,791.3,1721,1444,1476,2696,1959,1294,2213,992.1,726.7,1643,1661,1650,0
gunnision,9144250,Colorado,1956-01-01,500,0,1991,2106,3725,2050,4450,2773,3891,2891,2338,2020,1617,1112,1188,1218,2534,1967,2234,3506,2597,1981,3057,1369,1102,2223,2197,2269,0
