countryname,size1960,size1961,size1962,size1963,size1964,size1965,size1966,size1967,size1968,size1969,size1970,size1971,size1972,size1973,size1974,size1975,size1976,size1977,size1978,size1979,size1980,size1981,size1982,size1983,size1984,size1985,size1986,size1987,size1988,size1989,size1990,size1991,size1992,size1993,size1994,size1995,size1996,size1997,size1998,size1999,size2000,size2001,size2002,size2003,size2004,size2005,size2006,size2007,size2008,size2009,size2010,size2011,size2012,size2013,size2014,size2015,size2016,change1960,change1961,change1962,change1963,change1964,change1965,change1966,change1967,change1968,change1969,change1970,change1971,change1972,change1973,change1974,change1975,change1976,change1977,change1978,change1979,change1980,change1981,change1982,change1983,change1984,change1985,change1986,change1987,change1988,change1989,change1990,change1991,change1992,change1993,change1994,change1995,change1996,change1997,change1998,change1999,change2000,change2001,change2002,change2003,change2004,change2005,change2006,change2007,change2008,change2009,change2010,change2011,change2012,change2013,change2014,change2015,change2016
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77496740.74,87879333.33,109079963,131431037,147841740.7,164369296.3,182144111.1,208372851.9,240923925.9,290440148.1,337174851.9,398637740.7,438794777.8,459469074.1,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,825405518.5,795976518.5,809754481.5,850218592.6,913710370.4,1014979667,1149025481,1302388926,1359733556,1217719667,1147942222,1141865444,1216045778,1195885111,1274330333,1355645889,1449160185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.383621181,8.079742374,8.161435314,3.814916847,-0.08400885,5.364009643,10.16500109,7.643790495,11.49382819,6.626370731,5.213268558,5.252278102,3.011645772,2.176873116,1.158326269,5.280071488,6.676195163,-4.35949399,6.604818088,5.471131932,4.731313712,3.707894618,6.084634973,-5.196166358,1.087719703,6.110539449,5.811431058,6.287283752,12.80496079,9.289614439,0.047676393,-12.03555504,-7.041724676,-1.763273019,3.837469787,-0.200091657,4.602793308,4.126997099,4.375678654
Australia,18593347519,19666256020,19911524247,21527606675,23787658192,25962593795,27288610147,30421099787,32687870982,36659200358,41304737373,45183111211,52003504673,63782190903,88906411201,97226546497,1.05E+11,1.10E+11,1.18E+11,1.35E+11,1.50E+11,1.77E+11,1.94E+11,1.77E+11,1.94E+11,1.80E+11,1.82E+11,1.89E+11,2.36E+11,3.00E+11,3.11E+11,3.26E+11,3.26E+11,3.12E+11,3.23E+11,3.68E+11,4.02E+11,4.36E+11,4.00E+11,3.89E+11,4.15E+11,3.79E+11,3.95E+11,4.67E+11,6.13E+11,6.94E+11,7.48E+11,8.54E+11,1.06E+12,9.27E+11,1.14E+12,1.39E+12,1.54E+12,1.57E+12,1.46E+12,1.35E+12,1.20E+12,0,2.474965167,1.326664891,6.212971319,6.975489924,5.978493584,2.364606176,6.297786464,5.091587486,7.050657366,7.167345418,4.003308355,3.911781915,2.599312825,4.096768774,1.332862793,2.590951948,3.607674459,0.898233501,4.055964549,3.052416853,3.356420999,3.319422013,-2.230960236,4.630766129,5.249350487,4.100203645,2.578442474,5.776851984,3.880819843,3.530801438,-0.375332994,0.436463912,4.0619942,4.051610741,3.88933225,3.948807277,3.947615227,4.44013975,5.006807026,3.867868797,1.930054261,3.852927051,3.068304851,4.145671395,3.203548132,2.978054386,3.74972737,3.698140685,1.811957199,2.005879701,2.3728207,3.634249616,2.569856088,2.60945748,2.421610556,2.765773499
Austria,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335972268,17815464919,22006470861,29444365310,35104529078,39962704274,42856485618,51421585630,61902774946,73759181884,81861232823,70863106877,71103585384,71947277233,67821568599,69219621907,98797587382,1.24E+11,1.33E+11,1.33E+11,1.66E+11,1.73E+11,1.95E+11,1.90E+11,2.03E+11,2.40E+11,2.37E+11,2.12E+11,2.18E+11,2.17E+11,1.96E+11,1.97E+11,2.13E+11,2.61E+11,3.00E+11,3.15E+11,3.34E+11,3.86E+11,4.28E+11,3.98E+11,3.90E+11,4.29E+11,4.07E+11,4.28E+11,4.38E+11,3.77E+11,3.86E+11,0,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,5.546028411,5.114968735,6.207860972,4.890435421,3.942138086,-0.363735688,4.578445396,5.079980839,-0.210653522,5.356699873,1.731485369,-0.144294474,2.011254376,2.973088013,0.051275253,2.498678494,2.301392755,1.357167997,3.295880256,3.887074761,4.345641565,3.441627387,2.093524719,0.526809483,2.402118754,2.667983671,2.398314295,2.20501964,3.559966919,3.589987751,3.368407715,1.35051608,1.655854943,0.756156576,2.705743088,2.140682596,3.350831358,3.621510423,1.547263839,-3.799075048,1.928673056,2.807999932,0.7457561,0.124223545,0.644844832,0.963058399,1.480730721
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707720391,6235795104,7276013032,8680472169,13245716099,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,69684317719,74164435946,75244166773,53074370486,37847715736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69999996,-22.60000039,-23.09999955,-19.70000002,-11.8000009,1.3000002,5.800000524,10.00000028,7.400000582,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2,1.099999809,-3.100000202
Burundi,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3097324740,3007029030,0,-13.74613505,9.063157935,4.13540742,6.273037903,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964923,6.889050718,-0.726839562,0.697920236,7.942660976,11.46945304,-0.940575989,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.250180458,5.503096119,5.031024368,1.34950223,3.49982214,4.996836451,1.009998366,-6.239999999,-3.829999997,-7.920000001,-8.000000001,-1.589999997,4.749999992,-1.009999996,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218,4.660918184,-3.904919355,-0.587220798
Belgium,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26849173618,29981318395,37408626615,47999408508,56333063691,66029811341,71494607106,83283407091,1.02E+11,1.17E+11,1.28E+11,1.05E+11,92588982518,87650998817,83795759983,86730120728,1.21E+11,1.50E+11,1.63E+11,1.65E+11,2.06E+11,2.12E+11,2.36E+11,2.26E+11,2.46E+11,2.90E+11,2.81E+11,2.55E+11,2.61E+11,2.60E+11,2.38E+11,2.38E+11,2.59E+11,3.19E+11,3.71E+11,3.87E+11,4.10E+11,4.72E+11,5.19E+11,4.85E+11,4.84E+11,5.27E+11,4.98E+11,5.20E+11,5.32E+11,4.55E+11,4.66E+11,0,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.95693974,3.985827304,5.295604434,6.381702073,4.56525808,-1.965941546,5.652745847,0.626154812,2.841896595,2.341072999,4.444054087,-0.279283642,0.594986925,0.311842774,2.466382641,1.651792852,1.822762123,2.306659409,4.723208901,3.46916682,3.137402456,1.833074306,1.530654787,-0.961873089,3.226971478,2.384757216,1.593571255,3.71019693,1.975511603,3.563093603,3.633841364,0.811644083,1.780253197,0.774498227,3.634776681,2.094484986,2.499134928,3.397493226,0.747284182,-2.285112803,2.695144611,1.796629974,0.137051659,-0.062349215,1.646183423,1.476058965,1.19297884
Benin,226195579.4,235668222.4,236434906.8,253927646.5,269818988.3,289908720.6,302925280.8,306222000.4,326323097.4,330748211.5,333627758.2,335072975.2,410331901,504376035.7,554654787,676870140.3,698408244.4,750049739.2,928843304.8,1186231265,1405251547,1291119965,1267778489,1095348303,1051133927,1045712703,1336102041,1562412030,1620246187,1502294411,1959965244,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,2689787918,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9156748441,9707432016,8290986804,8583031398,0,3.141280459,-3.426409823,4.730027975,6.650759119,5.293862834,3.575862733,1.078398666,3.842335636,2.877497976,2.097757578,-1.496841828,6.426367544,3.706165319,3.339312161,-4.895345445,0.884356333,4.983663725,1.255078032,6.535747409,6.781763872,9.954231167,2.235066345,-4.347822734,7.929839564,7.530324837,2.171141598,-1.500002949,3.405245295,-2.854160496,8.976134361,4.225799419,2.957710826,5.836172088,2.020400448,6.045198648,4.324284031,5.734688377,3.961012138,5.341449372,5.859992101,5.330410857,4.644470026,3.444044849,4.429629024,1.711577628,3.947013747,5.986515522,4.893393918,2.319226924,2.116850127,2.962750351,4.810283413,7.193096519,6.357520953,2.094457981,3.981287767
Burkina Faso,330442817.2,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279,578595584,674773821.2,751133642.6,939972703.5,976547572.2,1131225279,1475584037,1748480982,1928720390,1775842680,1754450379,1600278756,1459880353,1552493414,2036303381,2369835439,2616040646,2615588546,3101301781,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,2993753187,2628920056,2812845514,3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724061339,11166061508,11934606510,12400688571,11148759325,12115155932,0,4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498741,0.449327405,8.286426482,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.796878872,4.255303394,9.562196623,0.34598474,-1.778696687,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754,2.814663076,4.185944746,3.998022357,5.861690066
Bangladesh,4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685473,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341234,30957483291,31708873955,33166520085,33768662171,37939748051,46438482370,48244308275,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.21E+11,0,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013596067,6.061093054,6.552633316,7.113489474
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,13063422619,10109404160,11195630537,14630974778,13495062850,13148099185,14135393876,16360346654,21074775206,26094622564,29821662537,34304448150,44765733380,54666642734,51783454184,50610031136,57418391042,53903028252,55758744571,56732006512,50199117547,52395164027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90016186,2.334565592,3.430305913,3.396443623,2.68344074,4.207602004,6.054513839,10.94469206,-3.289882068,-9.117377097,-8.445355238,-7.272387907,-1.480214829,1.818011241,2.860189441,1.599999963,-1.099999912,3.499999833,-5.609999976,5.010949436,4.248025257,6.018122264,5.077522246,6.555566547,7.236192982,6.753133915,7.675350682,5.647005366,-4.219726999,0.054557923,1.915018011,0.030943608,0.862092738,1.328849722,3.617442633,3.442532048
